date,team,goals_for,goals_against,venue,result,points,cumulative_points
2025-05-04,Chelsea,3,1,home,win,3,63
2025-05-04,Liverpool,1,3,away,loss,0,82
2025-05-04,Man United,3,4,away,loss,0,39
2025-05-04,Brentford,4,3,home,win,3,52
2025-05-04,Newcastle,1,1,away,draw,1,63
2025-05-04,West Ham,1,1,home,draw,1,37
2025-05-05,Crystal Palace,1,1,home,draw,1,46
2025-05-05,Nott'm Forest,1,1,away,draw,1,61
2025-05-10,Wolves,0,2,home,loss,0,41
2025-05-10,Aston Villa,1,0,away,win,3,63
2025-05-10,Everton,3,1,away,win,3,42
2025-05-10,Brentford,1,0,away,win,3,55
2025-05-10,Brighton,2,0,away,win,3,55
2025-05-10,Fulham,1,3,home,loss,0,51
2025-05-10,Man City,0,0,away,draw,1,65
2025-05-10,Bournemouth,0,1,home,loss,0,53
2025-05-10,Ipswich,0,1,home,loss,0,22
2025-05-10,Southampton,0,0,home,draw,1,12
2025-05-11,Newcastle,2,0,home,win,3,66
2025-05-11,Arsenal,2,2,away,draw,1,68
2025-05-11,Chelsea,0,2,away,loss,0,63
2025-05-11,Nott'm Forest,2,2,home,draw,1,62
2025-05-11,Man United,0,2,home,loss,0,39
2025-05-11,Tottenham,0,2,home,loss,0,38
2025-05-11,Liverpool,2,2,home,draw,1,83
2025-05-11,Leicester,2,2,away,draw,1,22
2025-05-11,West Ham,2,0,away,win,3,40
2025-05-11,Crystal Palace,2,0,away,win,3,49
2025-05-16,Man United,0,1,away,loss,0,39
2025-05-16,Tottenham,0,2,away,loss,0,38
2025-05-16,Chelsea,1,0,home,win,3,66
2025-05-16,Aston Villa,2,0,home,win,3,66
2025-05-18,Southampton,0,2,away,loss,0,12
2025-05-18,Nott'm Forest,2,1,away,win,3,65
2025-05-18,West Ham,1,2,home,loss,0,40
2025-05-18,Brentford,2,3,home,loss,0,55
2025-05-18,Ipswich,0,2,away,loss,0,22
2025-05-18,Everton,2,0,home,win,3,45
2025-05-18,Newcastle,0,1,away,loss,0,66
2025-05-18,Arsenal,1,0,home,win,3,71
2025-05-18,Fulham,3,2,away,win,3,54
2025-05-18,Leicester,2,0,home,win,3,25
2025-05-19,Liverpool,2,3,away,loss,0,83
2025-05-19,Brighton,3,2,home,win,3,58
2025-05-20,Man City,3,1,home,win,3,68
2025-05-20,Bournemouth,1,3,away,loss,0,53
2025-05-20,Wolves,2,4,away,loss,0,41
2025-05-20,Crystal Palace,4,2,home,win,3,52
2025-05-25,Wolves,1,1,home,draw,1,42
2025-05-25,Leicester,0,2,away,loss,0,25
2025-05-25,Man City,2,0,away,win,3,71
2025-05-25,West Ham,3,1,away,win,3,43
2025-05-25,Crystal Palace,1,1,away,draw,1,53
2025-05-25,Everton,1,0,away,win,3,48
2025-05-25,Chelsea,1,0,away,win,3,69
2025-05-25,Arsenal,2,1,away,win,3,74
2025-05-25,Aston Villa,0,2,away,loss,0,66
2025-05-25,Tottenham,1,4,home,loss,0,38
2025-05-25,Nott'm Forest,0,1,home,loss,0,65
2025-05-25,Newcastle,0,1,home,loss,0,66
2025-05-25,Man United,2,0,home,win,3,42
2025-05-25,Liverpool,1,1,home,draw,1,84
2025-05-25,Ipswich,1,3,home,loss,0,22
2025-05-25,Fulham,0,2,home,loss,0,54
2025-05-25,Bournemouth,2,0,home,win,3,56
2025-05-25,Brighton,4,1,away,win,3,61
2025-05-25,Southampton,1,2,home,loss,0,12
2025-05-25,Brentford,1,1,away,draw,1,56
